País,Estado,Sitio Estadíos,Estadio,Años,Pre-Post,Salida,COORDENADAS N,Coordenadas W,Altitud,GRUPO,ESPECIE,Fecha
México,Jalisco,Caiman8-10,8-10,9,Pre,1,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,8/8/09
México,Jalisco,Caiman8-10,8-10,9,Pre,1,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,8/8/09
México,Jalisco,Caiman8-10,8-10,9,Pre,1,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,8/8/09
México,Jalisco,Caiman8-10,8-10,9,Pre,1,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,8/8/09
México,Jalisco,Caiman8-10,8-10,9,Pre,1,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,8/8/09
México,Jalisco,Caiman8-10,8-10,9,Pre,1,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,8/8/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/10/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/10/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/10/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,10/11/09
México,Jalisco,Caiman8-10,8-10,9,Pre,2,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Rhinella marina,10/10/09
México,Jalisco,Caiman8-10,8-10,9,Pre,3,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/16/10
México,Jalisco,Caiman8-10,8-10,9,Pre,3,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/16/10
México,Jalisco,Caiman8-10,8-10,9,Pre,3,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/16/10
México,Jalisco,Caiman8-10,8-10,9,Pre,3,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/16/10
México,Jalisco,Caiman8-10,8-10,9,Pre,3,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/16/10
México,Jalisco,Caiman8-10,8-10,9,Pre,3,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,5/16/10
México,Jalisco,Caiman8-10,8-10,9,Pre,3,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Pachymedusa dacnicolor,5/16/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Diaglena spatulata,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,4,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Incilius marmoreus,7/14/10
México,Jalisco,Caiman8-10,8-10,9,Pre,5,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,10/6/10
México,Jalisco,Caiman8-10,8-10,9,Pre,5,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,10/6/10
México,Jalisco,Caiman8-10,8-10,9,Pre,5,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,10/6/10
México,Jalisco,Caiman8-10,8-10,9,Pre,5,"19°28'43.61""N","104°55'59.69""W",208,ANFIBIO,Craugastor occidentalis,10/6/10
