ID,Sex,time,openness,agreeableness,reactivity,methodical,dominance,extraversion
40,2,t2,5.06,4.36,3.03,4.86,4.35,5.02
41,1,t2,4.15,3.64,3.36,4.55,4.81,4.7
42,1,t2,4.7,4.36,2.9,4.68,4.35,5.21
43,2,t2,5.7,5.91,2.72,5.59,5.25,4.08
44,2,t2,4.76,3.5,4.25,5,5.69,4.3
45,2,t2,5.18,3.18,4.13,4.68,5.58,5.06
46,1,t2,5.79,4.36,2.98,5.27,5.22,5.15
47,1,t2,5.11,3.82,3.85,4.36,4.93,5.3
48,2,t2,5.74,5.14,2.89,5.41,5.17,4.71
49,1,t2,5,3.36,3.89,4.5,5.28,5.29
50,1,t2,4.59,3.91,3.05,4.45,4.98,5.11
